case_submitter_id,M34__strict__signed_mean_z,M34__strict__canine_pca_weighted_z,M11__strict__signed_mean_z,M11__strict__canine_pca_weighted_z,M24__strict__signed_mean_z,M24__strict__canine_pca_weighted_z,M40__strict__signed_mean_z,M40__strict__canine_pca_weighted_z
TARGET-40-0A4HLD,0.7957611206741948,0.8519785094476042,1.2191543089031938,1.16548392552123,0.1836274790701199,0.2134652204495214,0.4042175210541633,0.4581455857593006
TARGET-40-0A4HMC,-0.3656521136121811,-0.4017470678862362,-1.3225622589106452,-1.3523803952408535,-1.209332637593674,-1.1909199947451268,-1.1033889692666965,-1.2365780278353609
TARGET-40-0A4HX8,-0.1874841487154544,-0.161877974898799,0.2130499571110612,0.0591055178877377,2.2864981094600965,2.3797475299866804,1.6484158279595202,1.598098067187552
TARGET-40-0A4HXS,-0.6126759356268918,-0.5501612002579054,-0.2750588432652385,-0.3247646757394257,-1.43851643267111,-1.3854062573445447,-0.4519152261145339,-0.582508572322524
TARGET-40-0A4HY5,-0.1238260966876365,-0.1178102940986998,2.2313869041340384,2.3265031540835253,-0.6154223584732016,-0.6248290991077027,0.8236357600490889,0.9146120619526444
TARGET-40-0A4I0Q,0.0864940794189488,0.0792192960757958,0.4289119173861004,0.4366671908627895,-0.7860588623321919,-0.7618906189781389,-0.5233671609441742,-0.5466972326707892
TARGET-40-0A4I0S,-2.3311599642139127,-2.3000853395705074,-0.4965298468933592,-0.5136913779135914,-1.18915060840905,-1.1734341110196314,-2.914526015767822,-2.8038166511312337
TARGET-40-0A4I0W,0.8724880308937446,0.8104675945815459,-0.1739911259880534,-0.1871907213156956,0.1379637430743947,0.0643717962527738,-2.085161895233467,-1.957647067602533
TARGET-40-0A4I3S,-0.506126698547869,-0.4282868119076893,0.4524798224616841,0.4662970377411191,0.5422764477877778,0.5083180178797602,0.2936358217963691,0.3249055223507885
TARGET-40-0A4I42,-0.1055480518497656,-0.0444509886936714,-0.4488593927460986,-0.4492498304935932,0.5486775094662271,0.5304154811206246,0.1433288415247566,0.0205536365479337
TARGET-40-0A4I48,-1.4458672393906598,-1.436656113107652,0.4303553455528891,0.4993640568372463,0.2294077453716682,0.1364559429841819,-0.2996131730561774,-0.2970339453587416
TARGET-40-0A4I4E,1.2373725259358042,1.284791879522472,1.2021361785930236,1.3102047837979374,0.1989479809030455,0.1933817168176801,0.2762199508347199,0.1664895113418589
TARGET-40-0A4I4M,-0.9641204955984238,-0.9825899440408412,-0.2742327155710218,-0.2288374678830442,-0.0125940791869564,-0.1038828857667681,-1.039516373885966,-0.9787285768498384
